代號,名稱,年度,季別,出表日期,淨利,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1340,勝悅-KY,115,Q1,115/04/29,-45640.0,-45640.0,-45640.0,11435.0,32163.0,-0.3
1570,力肯,115,Q1,115/04/29,12096.0,12096.0,12096.0,119453.0,92449.0,0.23
1723,中碳,115,Q1,115/04/29,178879.0,178879.0,178879.0,1277807.0,958057.0,0.77
1773,勝一,115,Q1,115/04/29,605748.0,605748.0,605771.0,3044317.0,1901163.0,2.02
2006,東和鋼鐵,115,Q1,115/04/29,1218141.0,1218141.0,1211982.0,13602390.0,11598009.0,1.66
2035,唐榮公司,115,Q1,115/04/29,114121.0,114121.0,,2473778.0,2369240.0,0.33
2535,達欣工,115,Q1,115/04/29,748380.0,748380.0,748785.0,7158996.0,6135097.0,2.88
2617,台航,115,Q1,115/04/29,298044.0,298044.0,298044.0,1083585.0,628601.0,0.71
3023,信邦,115,Q1,115/04/29,862554.0,862554.0,865006.0,8292838.0,6260412.0,3.6
3037,欣興,115,Q1,115/04/29,5380738.0,5380738.0,5042976.0,37446455.0,30720413.0,3.28
3054,立萬利,115,Q1,115/04/29,113767.0,113767.0,113767.0,135881.0,33111.0,1.41
3081,聯亞,115,Q1,115/04/29,317515.0,317515.0,,904389.0,409156.0,3.44
3169,亞信,115,Q1,115/04/29,61570.0,61570.0,61570.0,241956.0,110814.0,0.97
3321,同泰,115,Q1,115/04/29,-59778.0,-59778.0,-59778.0,440905.0,433476.0,-0.69
3504,揚明光,115,Q1,115/04/29,5979.0,5979.0,5979.0,684957.0,560114.0,0.05
3511,矽瑪,115,Q1,115/04/29,-12072.0,-12072.0,-7037.0,466927.0,390323.0,-0.09
3529,力旺,115,Q1,115/04/29,615751.0,615751.0,596250.0,1093993.0,0.0,7.98
3555,博士旺,115,Q1,115/04/29,220748.0,220748.0,218054.0,273286.0,157001.0,5.45
4153,鈺緯,115,Q1,115/04/29,24782.0,24782.0,24782.0,222900.0,160836.0,0.42
4583,台灣精銳,115,Q1,115/04/29,285417.0,285417.0,285417.0,858339.0,402330.0,3.56
4966,譜瑞-KY,115,Q1,115/04/29,529160.0,529160.0,529160.0,3989734.0,2381961.0,6.77
5299,杰力,115,Q1,115/04/29,84099.0,84099.0,84099.0,386610.0,253332.0,1.65
5371,中光電,115,Q1,115/04/29,-116583.0,-116583.0,-119176.0,9361901.0,7899398.0,-0.3
5490,同亨,115,Q1,115/04/29,65559.0,65559.0,65559.0,440875.0,243751.0,0.7
5508,永信建,115,Q1,115/04/29,188231.0,188231.0,188231.0,740017.0,426895.0,0.87
5523,豐謙,115,Q1,115/04/29,-6393.0,-6393.0,-6393.0,1137.0,133.0,-0.04
5902,德記,115,Q1,115/04/29,43223.0,43223.0,43223.0,519770.0,393362.0,0.46
5904,寶雅,115,Q1,115/04/29,990042.0,990042.0,,7094656.0,3892812.0,9.3
6138,茂達,115,Q1,115/04/29,348227.0,348227.0,269381.0,1979004.0,1219272.0,3.68
6176,瑞儀,115,Q1,115/04/29,1052121.0,1052121.0,1052121.0,12046097.0,9349041.0,2.29
6201,亞弘電,115,Q1,115/04/29,57503.0,57503.0,57503.0,697897.0,534092.0,0.64
6202,盛群,115,Q1,115/04/29,71371.0,71371.0,68431.0,825585.0,495230.0,0.3
6271,同欣電,115,Q1,115/04/29,394697.0,394697.0,394293.0,2819237.0,2030694.0,1.89
6278,台表科,115,Q1,115/04/29,628121.0,628121.0,627376.0,12555084.0,11135630.0,2.17
6435,大中,115,Q1,115/04/29,137409.0,137409.0,,947542.0,693772.0,3.67
6486,互動,115,Q1,115/04/29,28743.0,28743.0,30132.0,464554.0,312186.0,0.59
6510,精測,115,Q1,115/04/29,338881.0,338881.0,341881.0,1357386.0,586787.0,10.43
6690,安�硌穈T,115,Q1,115/04/29,68064.0,68064.0,68064.0,624807.0,390608.0,2.27
6762,達亞,115,Q1,115/04/29,-13447.0,-13447.0,,135788.0,114699.0,-0.38
6919,康霈*,115,Q1,115/04/29,-107754.0,-107754.0,-107754.0,2.0,1.0,-0.07
7753,星亞,115,Q1,115/04/29,27040.0,27040.0,,196264.0,122940.0,1.08
7799,禾榮科,115,Q1,115/04/29,-57578.0,-57578.0,-57578.0,2885.0,2902.0,-0.37
8083,瑞穎,115,Q1,115/04/29,96425.0,96425.0,,344553.0,198791.0,2.74
8261,富鼎,115,Q1,115/04/29,186824.0,186824.0,186301.0,781527.0,483962.0,1.57
8271,宇瞻,115,Q1,115/04/29,1875177.0,1875177.0,1862431.0,7042184.0,3572832.0,14.54
8279,生展,115,Q1,115/04/29,33379.0,33379.0,33379.0,416660.0,279276.0,1.23
